ussid,slaveid,isallocated
128438196808456696,128438-WHMP,YES
1287320AX3112U807854,128732-MOPLBLR,YES
1260998907361522542,126099-WH1,YES
126088FWSX17021,126088-LSDT,YES
1252364067887207034,125236-468,YES
1265178903474180662,126517-LKS1,YES
129226NBI027267,129226-NICOLUX01,YES
1241304064533026933,124130-562107A,YES
1241304099684710455,124130-KOLK,YES
1262848903338419235,126284-SIRA,YES
1259283614270562112,125928-TD37_SUB,YES
129028NBG03,129028-PUNJ_WH,YES
126446UNIQLF255BLK41,126446-LF001,YES
1248488909112395412,124848-BANDHL,YES
100001301019714004,100001-WD16,YES
126887ITM00016,126887-BIBH01,YES
126887ITM00015,126887-BIBH01,YES
1281218909127151188,128121-BAN,YES
1281218909127021443,128121-MUMB,YES
1281218909127021740,128121-MUMB,YES
128438198294776166,128438-WHMP,YES
1268248903496143034,126824-1,YES
1241304067984596550,124130-562107A,YES
123762G988,123762-HKMM,YES
128832SUPERSTAR01cWHTSLATE6,128832-ARV,YES
1241304067984596314,124130-562107A,YES
1241304067984596390,124130-562107A,YES
125068058822074433,125068-MBEC01,YES
125178RL25VSKD32064XXL,125178-KFLSS1,YES
128134K91813XL,128134-MJSS1,YES
100031442072339,100031-BEM,YES
125178VSKD32951XXL,125178-KFLSS1,YES
1246628903496153408,124662-BCLS1,YES
100001301015630004,100001-WD27,YES
100001301015615006,100001-WD27,YES
100001300996221005,100001-WD48,YES
1257384066749384708,125738-1312,YES
1252364067894641210,125236-1484,YES
126628GUS78775301BSG,126628-ROLUX01,YES
1286488907438889332G40777CMAOLV44,128648-3955,YES
1256964067892479792,125696-1895,YES
1257384065418812436,125738-1840,YES
127892700684843603,127892-STYLI2024,YES
127892700575960103,127892-STYLI2024,YES
1246218905807329410,124621-PTBD,YES
100001301010232003,100001-WD16,YES
100001301005143003,100001-WD27,YES
100001300732286003,100001-W060,YES
125450FMSTLLCH3BLK,125450-FEM1,YES
100001301002441003,100001-WD27,YES
124267Google30WUSBCAdaptorWhite,124267-MUM,YES
1252364066753958308,125236-1976,YES
1257384067887807654,125738-1834,YES
1257384067898477587,125738-1818,YES
127785RFF136110,127785-RHW,YES
123790LPBPVE2ENVY,123790-VKOL,YES
12472122L993LBLKWHT7,124721-CF,YES
1280208719849102289,128020-CKWH,YES
1282758809875902578,128275-CCLUX01,YES
128153PCFGFWJMAZA1,128153-PLXMUMWH,YES
1259288904352004681,125928-TD37,YES
1286288908018477819,128628-WHBH01,YES
1288217004833,128821-HIMPUNWH,YES
1259288906147700273,125928-TD37,YES
1259288901012185292,125928-TD37,YES
100001301009122001,100001-WD27,YES
100001301015251003,100001-WD27,YES
100001301024479004,100001-W281,YES
12793999350107354,127939-PSMUMWH,YES
127939J370314,127939-PSMUMWH,YES
1280769360454554957,128076-FNA001,YES
127624MENCMPRN1058NAVYM,127624-LUD,YES
127624MENCMPRN1058BLACKGREYM,127624-LUD,YES
127532400470M,127532-BLR,YES
125414EZ524356051,125414-KOL,YES
100001300996891003,100001-WD16,YES
128697190231894834,128697-HAR2,YES
127965A1SF0048SBKRD001159950,127965-1036,YES
100001301023058002,100001-W012,YES
100001301019712001,100001-W029,YES
1261855715519552579,126185-WH01,YES
1256964066763332204,125696-1118,YES
123986209964100M8W10,123986-MBEC01,YES
128431BANANAESSENTIALSSlipLongL,128431-DELHI,YES
100001300987971004,100001-W038,YES
1257384066754677369,125738-1609,YES
127636AX1344,127636-ADLUX,YES
1246218909044675095,124621-PTBHD,YES
100031182321242,100031-BEM,YES
123790BPBRATEBLK,123790-VBGR,YES
128832AGC11cBLACK8,128832-ARV,YES
1274965642978,127496-S1826873,YES
1246218909230239858,124621-PTGRN,YES
124267APPLEEARPODSUSBC,124267-MUM,YES
126484SWGR2035,126484-GUJ,YES
1291102898442,129110-W038,YES
100001301020949002,100001-W173,YES
1257384067889360218,125738-1312,YES
100001301009194002,100001-WD16,YES
127636FS6090,127636-ADLUX,YES
1279391411101,127939-PSHARWH,YES
1241304069156078314,124130-122004,YES
1241304069156078208,124130-122004,YES
128334Doctor1185TanEU41,128334-DBBAL,YES
124635DH5522BZD08,124635-110015,YES
1001155715427466333,100115-BHW,YES
1292211183A94210111,129221-OTLUX1,YES
100001301027135002,100001-W239,YES
128685TRT8118OLIVE11,128685-AGRAH,YES
127939BNTN65187620,127939-PSHARWH,YES
127377LWSB19203025,127377-LWS,YES
1279391351252,127939-PSKOLWH,YES
12398660314450090,123986-15034,YES
128178RDS026210,128178-ND2,YES
125969PSNK15G,125969-HYD,YES
1248488905952521011,124848-WMS_INSTAKART_KOLKAT,YES
1248488907538169891,124848-WMS_INSTAKART_KOLKAT,YES
1248488905951922369,124848-WMS_INSTAKART_KOLKAT,YES
1239862079371FTM7W9,123986-MBWH11,YES
127223HROFF29BLR8,127223-LT01,YES
1283774070,128377-WH,YES
12753248480AL,127532-NWSS2,YES
12753248859AM,127532-NWSS2,YES
12753248313AL,127532-NWSS2,YES
128655190231902584,128655-MEWAT,YES
1246218909044340719,124621-P001,YES
1246218909044340610,124621-P020,YES
1246218909044340962,124621-PTGRN,YES
124776LIB2174011100440,124776-LIB,YES
1246218909044926371,124621-PTBD,YES
1272142835129645XL,127214-KISS1,YES
127776400410453111,127776-1100149292,YES
127695GS180112Grey32,127695-BAN,YES
100001301016928005,100001-WD16,YES
123785SS25CSMOVSRT8349L,123785-CAMPUS,YES
100001301010940005,100001-WD16,YES
1265178905994562898,126517-LKS1,YES
1276534062051415406,127653-8713,YES
1276534067901293340,127653-8713,YES
1276534067888641394,127653-8713,YES
100001301020717001,100001-W016,YES
100001301020314001,100001-W230,YES
100001301001778001,100001-WD27,YES
100001301024544001,100001-W230,YES
1284378905692919581,128437-MRTPLC,YES
1280208721107199191,128020-CKWH,YES
1246628903496192292,124662-BCLS1,YES
1257384066754682929,125738-1312,YES
1241304067979312615,124130-KOLK,YES
1257384067894674362,125738-1312,YES
1279393346130009764,127939-PSMUMWH,YES
127584FS5821,127584-AKWH,YES
1246218909230345429,124621-P030,YES
1282604067888598292,128260-564,YES
126661FBOzone1000ML1PCS,126661-NKPL,YES
1281218909127033071,128121-BAN,YES
127965A1SF0618GTNNB0008,127965-1036,YES
127458P1186DMNDGNREDM,127458-C9SS1,YES
1250508905566073111,125050-WH3600,YES
129075yellowline07,129075-WH,YES
129075boxorng07,129075-WH,YES
1259288906147700693,125928-TD37,YES
129075bilapatti07,129075-WH,YES
100001301018394006,100001-W043,YES
100001301014545005,100001-W239,YES
100001300979527005,100001-WD27,YES
100001301025868005,100001-W092,YES
100001301011247002,100001-WD16,YES
100001301018444004,100001-WD16,YES
1276534067887746519,127653-8713,YES
1276534062063889653,127653-8713,YES
1276534066754265368,127653-8713,YES
12753229652CS,127532-NWSS2,YES
127785RSL11079,127785-MUM,YES
100001301007802005,100001-WD16,YES
100001301006280006,100001-WD16,YES
100001301018454006,100001-W230,YES
100001301000969006,100001-WD27,YES
100001301014112006,100001-WD16,YES
100001301022137006,100001-W230,YES
1002438713228070,100243-9327,YES
125152524068628230,125152-WB,YES
1246218909044626042,124621-P445,YES
1253491011B87440110,125349-AWH,YES
10012110032984,100121-BAN,YES
124960PAN10606C1236L,124960-0110,YES
1246218909230027561,124621-PTKOL,YES
127320LXTBP0678,127320-LSDT,YES
1257484067891218514,125748-1475,YES
125399CCHB01162100,125399-4,YES
127287PD23143XL,127287-PRAKRITI001,YES
100267BR2073P2442B,100267-CLOVIASS1,YES
100267BR2199P1842B,100267-CLOVIASS1,YES
100001301015506003,100001-WD16,YES
100267LS0451P04L,100267-CLOVIASS1,YES
100267NS1312R19M,100267-CLOVIASS1,YES
100267LS0413I13M,100267-CLOVIASS1,YES
100267LS0598A08L,100267-CLOVIASS1,YES
1246218909230160633,124621-P619,YES
126326212KBD2243M,126326-SFSS1,YES
1259283614273638869,125928-TD37_SUB,YES
1259288906147700228,125928-TD37,YES
128697190231672029,128697-HAR2,YES
1256101004971405214,125610-6179,YES
1286557625408180272,128655-MEWAT,YES
1242657618391184693,124265-TD12,YES
1280138909059076443,128013-THWH,YES
12755223025,127552-WH1MP,YES
127552WP16172,127552-WH1MP,YES
12753248032L,127532-GWSS2,YES
127892700883912730,127892-STYLI2024,YES
126698BGIN6299,126698-BER1,YES
126698BG31143MM,126698-BER1,YES
1001135715419502612,100113-BHW,YES
100001301015283004,100001-WD16,YES
100001301002928005,100001-WD16,YES
100001300992792004,100001-WD16,YES
123790TEFINLLGBLK,123790-VMUM2,YES
1246218909044672780,124621-P483,YES
1241304067981858095,124130-562107A,YES
128804R8QQEGPNC1,128804-DELHI,YES
1260998907361825285,126099-WH1,YES
1280138909059322885,128013-THWH,YES
1280138909059322526,128013-THWH,YES
1292368905610840546,129236-VH21784,YES
